state,temp,do,ph,cond,bod,nit,fcol,tcol,id
ANDHRA PRADESH,25.84821429,6.248214286,7.677380952,1621.142857,2.713690476,2.621428571,64.30238095,524.5892857,28
ARUNACHAL PRADESH,23.61714286,3.6,7.505714286,98.29714286,1.597142857,1.88,145323.7,592178.2657,12
ASSAM,24.65679443,6.60174216,7.390243902,140.9094077,2.594425087,1.109059233,2227.564808,10989.92334,18
BIHAR,24.193361,7.5406639,7.731327801,360.0995851,2.875726141,0.625103734,122631.4108,191664.3257,10
CHHATTISGARH,25.7186747,6.972891566,7.590963855,741.9746988,2.240963855,2.881927711,59.94578313,329.1192771,22
DELHI,24.21428571,3.9,7.582142857,1100.482143,25.11071429,0.682142857,8237838.821,15702109.48,7
GUJARAT,27.98082192,6.444748858,7.919178082,1906.908676,10.04657534,0.473515982,201.4557078,1207.399087,24
HARYANA,22.72571429,7.408571429,7.677142857,731.0857143,7.448571429,1.557142857,305615.4143,625754.0857,6
HIMACHAL PRADESH,15.13607214,8.430861723,7.740881764,692.2264529,1.271142285,1.161523046,173.397996,491.3026052,2
JAMMU & KASHMIR,15.42235294,7.518823529,7.857647059,261.3372549,2.26745098,0.610588235,120847.6114,355119.7639,1
JHARKHAND,24.613,7.3765,7.4185,262.198,2.2695,2.5945,174.895,1752.41,20
KARNATAKA,26.10623557,6.657274827,7.8073903,463.4618938,3.419630485,2.000230947,644056.1152,3247005.968,29
KERALA,27.31,6.99,7.18,137.5,1.25,0.56,113.6,278,32
MADHYA PRADESH,24.04349376,7.232442068,7.840998217,660.1313725,2.88627451,2.655614973,1139.11123,7108.782531,23
MAHARASHTRA,25.91298482,5.586846543,7.830016863,1061.637437,6.987352445,2.462563238,121.3325464,530.7908938,27
MEGHALAYA,20.676,7.472,6.34,155.9,1.556,0.436,29.04,175.18,17
MIZORAM,21.5326087,6.72826087,7.423913043,229.2391304,1.634782609,0.563043478,294.3913043,835.1086957,15
NAGALAND,23.00930233,5.410465116,7.68255814,260.9418605,3.458139535,2.153488372,1775,33307.5,13
ODISHA,25.82368866,7.128595601,7.652284264,1447.836887,2.021150592,2.511336717,11331.08799,19355.18613,21
PUNJAB,21.2275,6.6965,7.675,413.705,7.8615,3.0135,43715.3325,91839.295,3
RAJASTHAN,24.47368421,5.297368421,8.202631579,622.5526316,3.664473684,2.869736842,100.1973684,263.6578947,8
SIKKIM,16.15625,9.65625,6.86875,205.8125,1.89375,1.44375,53.90625,135.875,11
TAMIL NADU,28.62926829,5.863902439,7.616097561,2081.497561,14.50536585,1.5,297309.1624,509611.0488,33
TELANGANA,25.85949367,5.376582278,7.718987342,2330.468354,5.903797468,5.83164557,35.83734177,237.5443038,0
TRIPURA,25.03333333,6.433333333,7.266666667,132.6666667,1.644444444,0.911111111,144.1111111,269.4444444,16
UTTAR PRADESH,23.69465812,6.988888889,7.807051282,574.8777778,10.45769231,2.426068376,177708.5712,359999.334,9
UTTARAKHAND,19.86187845,7.660220994,7.589502762,310.7823204,6.597790055,0.401104972,862.9016575,9824.674586,5
WEST BENGAL,26.36190476,6.813809524,7.70952381,1147.433333,3.715238095,0.719047619,69822.09524,198460.4286,19
